"","Dates","X","region","CumTotal","NewCases","NewPerPop","CumPerPop","New_Tests","Cases","Negative","Hospitalized","Deaths","Total_Tests","X","region","CumTotal","NewCases","NewPerPop","CumPerPop","New_Tests","Cases","Negative","Hospitalized","Deaths","Total_Tests","X","region","CumTotal","NewCases","NewPerPop","CumPerPop","New_Tests","Cases","Negative","Hospitalized","Deaths","Total_Tests","X","region","CumTotal","NewCases","NewPerPop","CumPerPop","New_Tests","Cases","Negative","Hospitalized","Deaths","Total_Tests","X","region","CumTotal","NewCases","NewPerPop","CumPerPop","New_Tests","Cases","Negative","Hospitalized","Deaths","Total_Tests","region","CumTotal","NewCases","NewPerPop","CumPerPop","X","region","CumTotal","NewCases","NewPerPop","CumPerPop","New_Tests","Cases","Negative","Hospitalized","Deaths","Total_Tests","X","region","CumTotal","NewCases","NewPerPop","CumPerPop","New_Tests","Cases","Negative","Hospitalized","Deaths","Total_Tests","X","region","CumTotal","NewCases","NewPerPop","CumPerPop","New_Tests","Cases","Negative","Hospitalized","Deaths","Total_Tests"
"1","X1.25.20",1,"Texas",0,0,0,0,0,0,0,NA,0,0,1,"Arizona",0,0,0,0,0,0,0,0,0,0,1,"Florida",0,0,0,0,0,0,0,0,0,0,1,"California",0,0,0,0,0,0,0,0,0,0,1,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,1,"Virgina",0,0,0,0,0,0,0,0,0,0,1,"North Carolina",0,0,0,0,0,0,0,NA,0,0,1,"New York",0,0,0,0,0,0,0,0,0,0
"2","X1.26.20",2,"Texas",0,0,0,0,0,0,0,NA,0,0,2,"Arizona",1,1,0.0137,0.0137,0,0,0,0,0,0,2,"Florida",0,0,0,0,0,0,0,0,0,0,2,"California",2,2,0.0051,0.0051,0,0,0,0,0,0,2,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,2,"Virgina",0,0,0,0,0,0,0,0,0,0,2,"North Carolina",0,0,0,0,0,0,0,NA,0,0,2,"New York",0,0,0,0,0,0,0,0,0,0
"3","X1.27.20",3,"Texas",0,0,0,0,0,0,0,NA,0,0,3,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,3,"Florida",0,0,0,0,0,0,0,0,0,0,3,"California",2,0,0,0.0051,0,0,0,0,0,0,3,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,3,"Virgina",0,0,0,0,0,0,0,0,0,0,3,"North Carolina",0,0,0,0,0,0,0,NA,0,0,3,"New York",0,0,0,0,0,0,0,0,0,0
"4","X1.28.20",4,"Texas",0,0,0,0,0,0,0,NA,0,0,4,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,4,"Florida",0,0,0,0,0,0,0,0,0,0,4,"California",2,0,0,0.0051,0,0,0,0,0,0,4,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,4,"Virgina",0,0,0,0,0,0,0,0,0,0,4,"North Carolina",0,0,0,0,0,0,0,NA,0,0,4,"New York",0,0,0,0,0,0,0,0,0,0
"5","X1.29.20",5,"Texas",0,0,0,0,0,0,0,NA,0,0,5,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,5,"Florida",0,0,0,0,0,0,0,0,0,0,5,"California",2,0,0,0.0051,0,0,0,0,0,0,5,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,5,"Virgina",0,0,0,0,0,0,0,0,0,0,5,"North Carolina",0,0,0,0,0,0,0,NA,0,0,5,"New York",0,0,0,0,0,0,0,0,0,0
"6","X1.30.20",6,"Texas",0,0,0,0,0,0,0,NA,0,0,6,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,6,"Florida",0,0,0,0,0,0,0,0,0,0,6,"California",2,0,0,0.0051,0,0,0,0,0,0,6,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,6,"Virgina",0,0,0,0,0,0,0,0,0,0,6,"North Carolina",0,0,0,0,0,0,0,NA,0,0,6,"New York",0,0,0,0,0,0,0,0,0,0
"7","X1.31.20",7,"Texas",0,0,0,0,0,0,0,NA,0,0,7,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,7,"Florida",0,0,0,0,0,0,0,0,0,0,7,"California",3,1,0.0025,0.0076,0,0,0,0,0,0,7,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,7,"Virgina",0,0,0,0,0,0,0,0,0,0,7,"North Carolina",0,0,0,0,0,0,0,NA,0,0,7,"New York",0,0,0,0,0,0,0,0,0,0
"8","X2.1.20",8,"Texas",0,0,0,0,0,0,0,NA,0,0,8,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,8,"Florida",0,0,0,0,0,0,0,0,0,0,8,"California",3,0,0,0.0076,0,0,0,0,0,0,8,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,8,"Virgina",0,0,0,0,0,0,0,0,0,0,8,"North Carolina",0,0,0,0,0,0,0,NA,0,0,8,"New York",0,0,0,0,0,0,0,0,0,0
"9","X2.10.20",17,"Texas",0,0,0,0,0,0,0,NA,0,0,17,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,17,"Florida",0,0,0,0,0,0,0,0,0,0,17,"California",6,0,0,0.0152,0,0,0,0,0,0,17,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,17,"Virgina",0,0,0,0,0,0,0,0,0,0,17,"North Carolina",0,0,0,0,0,0,0,NA,0,0,17,"New York",0,0,0,0,0,0,0,0,0,0
"10","X2.11.20",18,"Texas",0,0,0,0,0,0,0,NA,0,0,18,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,18,"Florida",0,0,0,0,0,0,0,0,0,0,18,"California",7,1,0.0025,0.0177,0,0,0,0,0,0,18,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,18,"Virgina",0,0,0,0,0,0,0,0,0,0,18,"North Carolina",0,0,0,0,0,0,0,NA,0,0,18,"New York",0,0,0,0,0,0,0,0,0,0
"11","X2.12.20",19,"Texas",0,0,0,0,0,0,0,NA,0,0,19,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,19,"Florida",0,0,0,0,0,0,0,0,0,0,19,"California",7,0,0,0.0177,0,0,0,0,0,0,19,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,19,"Virgina",0,0,0,0,0,0,0,0,0,0,19,"North Carolina",0,0,0,0,0,0,0,NA,0,0,19,"New York",0,0,0,0,0,0,0,0,0,0
"12","X2.13.20",20,"Texas",0,0,0,0,0,0,0,NA,0,0,20,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,20,"Florida",0,0,0,0,0,0,0,0,0,0,20,"California",8,1,0.0025,0.0202,0,0,0,0,0,0,20,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,20,"Virgina",0,0,0,0,0,0,0,0,0,0,20,"North Carolina",0,0,0,0,0,0,0,NA,0,0,20,"New York",0,0,0,0,0,0,0,0,0,0
"13","X2.14.20",21,"Texas",0,0,0,0,0,0,0,NA,0,0,21,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,21,"Florida",0,0,0,0,0,0,0,0,0,0,21,"California",8,0,0,0.0202,0,0,0,0,0,0,21,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,21,"Virgina",0,0,0,0,0,0,0,0,0,0,21,"North Carolina",0,0,0,0,0,0,0,NA,0,0,21,"New York",0,0,0,0,0,0,0,0,0,0
"14","X2.15.20",22,"Texas",0,0,0,0,0,0,0,NA,0,0,22,"Arizona",1,0,0,0.0137,0,0,0,0,0,0,22,"Florida",0,0,0,0,0,0,0,0,0,0,22,"California",8,0,0,0.0202,0,0,0,0,0,0,22,"Nevada",0,0,0,0,0,0,0,"0",0,0,"Hawaii",0,0,0,0,22,"Virgina",0,0,0,0,0,0,0,0,0,0,22,"North Carolina",0,0,0,0,0,0,0,NA,0,0,22,"New York",0,0,0,0,0,0,0,0,0,0
